URN,P8MEA,P8MEA_FSM6CLA1A
135653,0.04,-0.22
139292,0.04,-0.22
140108,0.03,-0.22
116458,0.02,-0.22
137872,0.02,-0.22
138178,0.02,-0.22
113863,0.01,-0.22
122374,0.01,-0.22
105259,-0.02,-0.22
141309,-0.08,-0.22
117500,-0.14,-0.22
120297,-0.15,-0.22
114315,-0.17,-0.22
141746,-0.2,-0.22
137407,0.38,-0.23
125747,0.32,-0.23
111414,0.3,-0.23
139153,0.3,-0.23
114584,0.29,-0.23
116466,0.24,-0.23
136842,0.14,-0.23
136577,0.13,-0.23
136924,0.11,-0.23
114581,0.1,-0.23
123589,0.1,-0.23
136559,0.1,-0.23
121714,0.09,-0.23
137019,0.09,-0.23
141744,0.09,-0.23
116413,0.08,-0.23
136044,0.05,-0.23
136735,0.05,-0.23
137188,0.03,-0.23
112959,0.01,-0.23
105135,0,-0.23
138681,0,-0.23
139538,0,-0.23
110050,-0.03,-0.23
100190,-0.05,-0.23
136172,-0.05,-0.23
138630,-0.06,-0.23
103537,-0.07,-0.23
112061,-0.08,-0.23
139673,-0.1,-0.23
138647,-0.13,-0.23
137924,0.42,-0.24
122898,0.25,-0.24
137208,0.25,-0.24
137742,0.24,-0.24
136459,0.19,-0.24
137612,0.15,-0.24
135892,0.14,-0.24
136873,0.14,-0.24
136839,0.12,-0.24
137754,0.12,-0.24
138177,0.12,-0.24
137773,0.1,-0.24
103500,0.09,-0.24
126098,0.07,-0.24
135652,0.07,-0.24
141395,0.07,-0.24
113512,0.06,-0.24
113540,0.06,-0.24
136585,0.03,-0.24
101245,0,-0.24
136995,0,-0.24
116478,-0.03,-0.24
108870,-0.04,-0.24
137457,-0.04,-0.24
137448,-0.06,-0.24
137206,-0.07,-0.24
136105,-0.08,-0.24
131929,-0.09,-0.24
138046,-0.16,-0.24
139048,-0.17,-0.24
135650,-0.18,-0.24
136987,-0.21,-0.24
119813,-0.23,-0.24
138734,-0.35,-0.24
137317,-0.49,-0.24
118884,0.41,-0.25
136905,0.3,-0.25
137060,0.28,-0.25
138839,0.16,-0.25
116411,0.15,-0.25
140679,0.11,-0.25
131601,0.09,-0.25
136724,0.07,-0.25
112996,0.02,-0.25
119761,0,-0.25
136728,-0.03,-0.25
105360,-0.06,-0.25
103541,-0.09,-0.25
108526,-0.1,-0.25
123587,-0.1,-0.25
139118,-0.13,-0.25
138845,-0.19,-0.25
135035,0.2,-0.26
136399,0.14,-0.26
136921,0.12,-0.26
106653,0.09,-0.26
116424,0.09,-0.26
137160,0.08,-0.26
137360,0.08,-0.26
136489,0.07,-0.26
100183,0.03,-0.26
136758,0.03,-0.26
141930,0.03,-0.26
137119,0.02,-0.26
138747,0.01,-0.26
140049,0,-0.26
137859,-0.02,-0.26
135565,-0.03,-0.26
137625,-0.05,-0.26
141705,-0.06,-0.26
116475,-0.11,-0.26
123575,-0.12,-0.26
116941,-0.13,-0.26
119743,-0.13,-0.26
137087,-0.14,-0.26
140459,-0.14,-0.26
139180,-0.15,-0.26
135875,-0.22,-0.26
142219,-0.23,-0.26
115775,-0.29,-0.26
136355,0.35,-0.27
137223,0.3,-0.27
137082,0.21,-0.27
138318,0.18,-0.27
122351,0.17,-0.27
126093,0.15,-0.27
137297,0.11,-0.27
137130,0.09,-0.27
138951,0.07,-0.27
141808,0.05,-0.27
104962,0.02,-0.27
125271,0.01,-0.27
118788,0,-0.27
138183,0,-0.27
107778,-0.02,-0.27
105366,-0.03,-0.27
104019,-0.06,-0.27
136971,-0.06,-0.27
136091,-0.09,-0.27
137382,-0.13,-0.27
137646,-0.13,-0.27
136301,-0.14,-0.27
123881,-0.17,-0.27
141363,-0.18,-0.27
136715,0.39,-0.28
136389,0.37,-0.28
137100,0.22,-0.28
116999,0.2,-0.28
139155,0.19,-0.28
121163,0.11,-0.28
136042,0.09,-0.28
110060,0.08,-0.28
141841,0.08,-0.28
137300,0.07,-0.28
106959,0.06,-0.28
138337,0.01,-0.28
107780,-0.01,-0.28
137552,-0.01,-0.28
138172,-0.01,-0.28
138606,-0.01,-0.28
141166,-0.01,-0.28
112950,-0.02,-0.28
114613,-0.03,-0.28
105840,-0.06,-0.28
137522,-0.07,-0.28
138852,-0.09,-0.28
134120,-0.16,-0.28
137316,-0.16,-0.28
136462,-0.2,-0.28
136416,0.39,-0.29
138475,0.24,-0.29
126095,0.22,-0.29
136677,0.2,-0.29
116437,0.12,-0.29
137619,0.1,-0.29
119714,0.09,-0.29
138732,0.07,-0.29
139487,0.07,-0.29
136658,0.05,-0.29
137981,0.05,-0.29
123595,0.02,-0.29
136273,0.02,-0.29
102854,-0.02,-0.29
136540,-0.03,-0.29
136627,-0.04,-0.29
137733,-0.04,-0.29
136900,-0.05,-0.29
138116,-0.07,-0.29
136576,-0.08,-0.29
138435,-0.08,-0.29
116506,-0.1,-0.29
136187,-0.1,-0.29
139786,-0.11,-0.29
140308,-0.11,-0.29
102449,-0.13,-0.29
117552,-0.13,-0.29
138314,-0.17,-0.29
138473,0.33,-0.3
102929,0.26,-0.3
136323,0.26,-0.3
137057,0.21,-0.3
136649,0.18,-0.3
136654,0.16,-0.3
141169,0.14,-0.3
138765,0.09,-0.3
136791,0.06,-0.3
138216,0.06,-0.3
136593,0.05,-0.3
139649,0.05,-0.3
137851,0.04,-0.3
111436,0.03,-0.3
106535,0.02,-0.3
114301,-0.01,-0.3
141175,-0.01,-0.3
135149,-0.03,-0.3
135337,-0.05,-0.3
135956,-0.05,-0.3
137145,-0.08,-0.3
105363,-0.09,-0.3
136300,-0.09,-0.3
104833,-0.14,-0.3
136406,-0.14,-0.3
139335,-0.14,-0.3
104255,-0.15,-0.3
124468,-0.16,-0.3
124388,-0.18,-0.3
103494,-0.24,-0.3
100642,-0.33,-0.3
106133,0.2,-0.31
136382,0.19,-0.31
136680,0.16,-0.31
137116,0.16,-0.31
119781,0.12,-0.31
137075,0.06,-0.31
137225,0.04,-0.31
116502,0.03,-0.31
119773,0,-0.31
138058,-0.02,-0.31
115723,-0.05,-0.31
103743,-0.06,-0.31
139196,-0.07,-0.31
139248,-0.08,-0.31
139304,-0.1,-0.31
137472,-0.12,-0.31
137832,-0.13,-0.31
139629,-0.16,-0.31
135911,-0.23,-0.31
103548,-0.27,-0.31
137139,0.47,-0.32
119751,0.22,-0.32
137377,0.2,-0.32
138491,0.18,-0.32
137202,0.15,-0.32
114598,0.14,-0.32
136673,0.14,-0.32
139158,0.06,-0.32
136655,0.01,-0.32
137104,0,-0.32
137752,0,-0.32
137197,-0.01,-0.32
140055,-0.02,-0.32
104251,-0.03,-0.32
113551,-0.12,-0.32
123580,-0.14,-0.32
138342,-0.15,-0.32
136157,-0.18,-0.32
137966,-0.23,-0.32
136032,-0.26,-0.32
141086,-0.27,-0.32
137375,0.21,-0.33
121182,0.19,-0.33
137456,0.19,-0.33
114326,0.16,-0.33
121681,0.15,-0.33
138458,0.14,-0.33
132268,0.08,-0.33
107782,0.06,-0.33
140898,0.06,-0.33
114590,0.05,-0.33
125755,0.05,-0.33
136128,0.05,-0.33
141069,0.03,-0.33
124802,0.01,-0.33
140737,0.01,-0.33
108644,-0.01,-0.33
138923,-0.01,-0.33
137209,-0.02,-0.33
123564,-0.03,-0.33
103483,-0.05,-0.33
110078,-0.05,-0.33
137368,-0.05,-0.33
138190,-0.09,-0.33
139181,-0.09,-0.33
132217,-0.1,-0.33
136958,-0.12,-0.33
102341,-0.14,-0.33
136779,-0.15,-0.33
138103,-0.15,-0.33
105263,-0.16,-0.33
136185,-0.2,-0.33
135628,-0.25,-0.33
125278,0.58,-0.34
117555,0.32,-0.34
136360,0.23,-0.34
136782,0.23,-0.34
137352,0.17,-0.34
125734,0.16,-0.34
121677,0.15,-0.34
137423,0.11,-0.34
136519,0.06,-0.34
109327,0.04,-0.34
115322,0.04,-0.34
137444,0.04,-0.34
138148,0.03,-0.34
137965,0.01,-0.34
137735,0,-0.34
136800,-0.02,-0.34
139975,-0.02,-0.34
120306,-0.04,-0.34
137154,-0.05,-0.34
110069,-0.07,-0.34
135630,-0.1,-0.34
135365,-0.11,-0.34
137907,-0.12,-0.34
103861,-0.13,-0.34
101813,-0.17,-0.34
103563,-0.22,-0.34
142058,-0.23,-0.34
139588,-0.29,-0.34
138312,-0.37,-0.34
136856,0.29,-0.35
136415,0.27,-0.35
138855,0.26,-0.35
116438,0.23,-0.35
139160,0.14,-0.35
142218,0.1,-0.35
124400,0.04,-0.35
139368,0,-0.35
132256,-0.01,-0.35
118112,-0.02,-0.35
103728,-0.06,-0.35
137514,-0.06,-0.35
138614,-0.08,-0.35
141178,-0.08,-0.35
137638,-0.1,-0.35
139455,-0.1,-0.35
137847,-0.11,-0.35
121699,-0.12,-0.35
105576,-0.13,-0.35
141414,-0.14,-0.35
139878,-0.16,-0.35
136438,-0.17,-0.35
140104,-0.17,-0.35
118078,-0.18,-0.35
141694,-0.18,-0.35
103513,-0.19,-0.35
138783,-0.2,-0.35
140982,-0.2,-0.35
136876,-0.22,-0.35
139051,-0.23,-0.35
103503,-0.28,-0.35
103526,-0.3,-0.35
108088,-0.38,-0.35
125281,0.26,-0.36
139500,0.13,-0.36
137342,0.11,-0.36
138471,0.09,-0.36
121693,0.08,-0.36
112932,0.07,-0.36
114592,0.07,-0.36
137198,0.02,-0.36
137285,-0.01,-0.36
105362,-0.02,-0.36
110882,-0.02,-0.36
136184,-0.05,-0.36
136200,-0.07,-0.36
102045,-0.09,-0.36
124392,-0.09,-0.36
138696,-0.09,-0.36
116430,-0.11,-0.36
137707,-0.11,-0.36
135770,-0.13,-0.36
137361,-0.13,-0.36
136432,-0.15,-0.36
135980,-0.16,-0.36
109317,-0.19,-0.36
103858,-0.2,-0.36
137192,-0.21,-0.36
139028,-0.22,-0.36
110500,-0.24,-0.36
140950,-0.28,-0.36
137473,-0.35,-0.36
136183,-0.36,-0.36
137839,0.16,-0.37
137052,0.14,-0.37
136544,0.13,-0.37
106138,0.12,-0.37
136517,0.1,-0.37
137073,0.09,-0.37
138038,0.09,-0.37
112936,0.07,-0.37
106525,0.04,-0.37
141177,0.01,-0.37
141236,0.01,-0.37
136125,0,-0.37
136860,0,-0.37
107140,-0.03,-0.37
137880,-0.05,-0.37
138124,-0.14,-0.37
125273,-0.15,-0.37
135874,-0.31,-0.37
119802,0.3,-0.38
137917,0.23,-0.38
136730,0.14,-0.38
139764,0.14,-0.38
137416,0.13,-0.38
140586,0.13,-0.38
126065,0.12,-0.38
136885,0.11,-0.38
138894,0.1,-0.38
136570,0.06,-0.38
137673,0,-0.38
118897,-0.03,-0.38
123244,-0.03,-0.38
135942,-0.05,-0.38
138650,-0.06,-0.38
137141,-0.07,-0.38
138632,-0.07,-0.38
139534,-0.07,-0.38
134223,-0.08,-0.38
139271,-0.08,-0.38
137421,-0.09,-0.38
106947,-0.1,-0.38
137111,-0.11,-0.38
135864,-0.13,-0.38
140875,-0.14,-0.38
103522,-0.15,-0.38
103732,-0.19,-0.38
135367,-0.19,-0.38
139364,-0.19,-0.38
100053,-0.26,-0.38
112045,-0.26,-0.38
139589,-0.29,-0.38
137094,-0.37,-0.38
114591,0.38,-0.39
137475,0.25,-0.39
140640,0.22,-0.39
125257,0.17,-0.39
112969,0.14,-0.39
136904,0.1,-0.39
137190,0.09,-0.39
104119,0.07,-0.39
138214,0.03,-0.39
137925,0,-0.39
106529,-0.06,-0.39
136849,-0.06,-0.39
137135,-0.07,-0.39
121666,-0.08,-0.39
135580,-0.09,-0.39
137458,-0.09,-0.39
137538,-0.09,-0.39
140802,-0.14,-0.39
121702,-0.17,-0.39
139268,-0.19,-0.39
135761,-0.23,-0.39
137224,-0.23,-0.39
101932,-0.24,-0.39
119816,-0.28,-0.39
117596,-0.38,-0.39
135313,-0.38,-0.39
138490,0.38,-0.4
108076,0.09,-0.4
137336,0.07,-0.4
137462,0.06,-0.4
139891,0.02,-0.4
124443,-0.01,-0.4
137436,-0.02,-0.4
134997,-0.04,-0.4
120277,-0.12,-0.4
138472,-0.12,-0.4
105262,-0.13,-0.4
138114,-0.13,-0.4
138373,-0.19,-0.4
138571,-0.21,-0.4
104248,-0.23,-0.4
104714,-0.23,-0.4
112052,-0.23,-0.4
137193,-0.25,-0.4
103859,-0.34,-0.4
100452,-0.35,-0.4
135176,-0.4,-0.4
121665,0.42,-0.41
101811,0.24,-0.41
136963,0.1,-0.41
114312,0.09,-0.41
137218,0.08,-0.41
110873,0.07,-0.41
108726,0.02,-0.41
137128,0.01,-0.41
137125,-0.02,-0.41
138869,-0.02,-0.41
136671,-0.07,-0.41
140288,-0.07,-0.41
124856,-0.09,-0.41
137931,-0.09,-0.41
113548,-0.17,-0.41
136195,-0.19,-0.41
125459,-0.22,-0.41
138711,-0.23,-0.41
125266,-0.24,-0.41
100747,-0.25,-0.41
139765,-0.25,-0.41
135943,-0.3,-0.41
140620,-0.32,-0.41
137210,-0.43,-0.41
138482,0.26,-0.42
126101,0.23,-0.42
136998,0.18,-0.42
137064,0.13,-0.42
138184,0.11,-0.42
138039,0.1,-0.42
136925,0.06,-0.42
138706,0.06,-0.42
140547,0.05,-0.42
137944,0,-0.42
103003,-0.06,-0.42
136854,-0.06,-0.42
112935,-0.07,-0.42
119782,-0.08,-0.42
106271,-0.09,-0.42
138221,-0.1,-0.42
139067,-0.1,-0.42
125764,-0.12,-0.42
124412,-0.14,-0.42
135003,-0.15,-0.42
105574,-0.16,-0.42
140549,-0.22,-0.42
104835,-0.27,-0.42
113884,-0.28,-0.42
136799,-0.28,-0.42
136574,-0.3,-0.42
110532,-0.34,-0.42
102343,-0.42,-0.42
138356,0.43,-0.43
102850,0.18,-0.43
108085,0.05,-0.43
136583,0.01,-0.43
137140,0,-0.43
138018,-0.04,-0.43
138585,-0.05,-0.43
138928,-0.05,-0.43
121667,-0.07,-0.43
136465,-0.08,-0.43
136763,-0.08,-0.43
136127,-0.1,-0.43
139367,-0.15,-0.43
113539,-0.16,-0.43
114293,-0.16,-0.43
135960,-0.2,-0.43
138699,-0.23,-0.43
137231,-0.25,-0.43
108079,-0.29,-0.43
133289,-0.29,-0.43
142077,-0.31,-0.43
108410,-0.32,-0.43
136974,0.09,-0.44
114327,0.05,-0.44
137083,0.05,-0.44
136733,0.02,-0.44
126084,-0.02,-0.44
138622,-0.06,-0.44
105989,-0.07,-0.44
107428,-0.09,-0.44
137420,-0.11,-0.44
142237,-0.15,-0.44
138759,-0.16,-0.44
138920,-0.16,-0.44
141338,-0.16,-0.44
124402,-0.18,-0.44
137948,-0.18,-0.44
103727,-0.2,-0.44
135209,-0.2,-0.44
136106,-0.2,-0.44
138885,-0.2,-0.44
140867,-0.22,-0.44
106528,-0.23,-0.44
105834,-0.26,-0.44
137975,-0.3,-0.44
107443,-0.33,-0.44
124467,-0.34,-0.44
136411,-0.36,-0.44
109322,-0.39,-0.44
114587,0.29,-0.45
126096,0.13,-0.45
136587,0.11,-0.45
139572,0.11,-0.45
137037,0.1,-0.45
137309,0.1,-0.45
137734,0.01,-0.45
133405,-0.02,-0.45
124389,-0.03,-0.45
112948,-0.05,-0.45
136596,-0.05,-0.45
136979,-0.05,-0.45
136136,-0.07,-0.45
137162,-0.07,-0.45
135620,-0.08,-0.45
120274,-0.12,-0.45
116423,-0.15,-0.45
138859,-0.16,-0.45
138925,-0.17,-0.45
105252,-0.19,-0.45
106962,-0.19,-0.45
135866,-0.2,-0.45
104259,-0.27,-0.45
134993,-0.29,-0.45
116463,-0.33,-0.45
142166,0.21,-0.46
140105,0.15,-0.46
125748,0.14,-0.46
138193,0.12,-0.46
122059,0.06,-0.46
138853,0.04,-0.46
136201,0.01,-0.46
137254,0,-0.46
125268,-0.01,-0.46
137319,-0.01,-0.46
138304,-0.02,-0.46
137974,-0.03,-0.46
138758,-0.05,-0.46
120281,-0.06,-0.46
110068,-0.08,-0.46
137763,-0.09,-0.46
116422,-0.1,-0.46
138042,-0.11,-0.46
136302,-0.15,-0.46
112966,-0.16,-0.46
139101,-0.19,-0.46
137606,-0.23,-0.46
136838,-0.25,-0.46
136663,-0.27,-0.46
116426,-0.28,-0.46
118070,-0.3,-0.46
121188,-0.34,-0.46
118076,-0.41,-0.46
137982,0.36,-0.47
138111,0.34,-0.47
139343,0.22,-0.47
136907,0.16,-0.47
121159,0.11,-0.47
136657,0.02,-0.47
108083,-0.07,-0.47
136969,-0.13,-0.47
137176,-0.13,-0.47
119797,-0.17,-0.47
136986,-0.19,-0.47
105261,-0.24,-0.47
100749,-0.27,-0.47
108087,-0.27,-0.47
137608,-0.27,-0.47
139669,-0.28,-0.47
135338,-0.3,-0.47
138274,-0.37,-0.47
111733,-0.4,-0.47
117525,-0.42,-0.47
138439,-0.48,-0.47
116442,0.19,-0.48
136973,0.12,-0.48
137345,0.07,-0.48
119775,0.06,-0.48
137886,0.04,-0.48
104826,0,-0.48
138819,0,-0.48
137205,-0.02,-0.48
138686,-0.04,-0.48
136575,-0.07,-0.48
105844,-0.13,-0.48
113533,-0.18,-0.48
112971,-0.19,-0.48
139100,-0.2,-0.48
117512,-0.22,-0.48
108531,-0.24,-0.48
139936,-0.25,-0.48
131896,-0.27,-0.48
137849,-0.28,-0.48
138858,-0.29,-0.48
104706,-0.32,-0.48
136720,-0.32,-0.48
133725,-0.34,-0.48
104118,-0.37,-0.48
137313,0.6,-0.49
138460,0.22,-0.49
137040,0.07,-0.49
117578,0.01,-0.49
137777,0.01,-0.49
136902,0,-0.49
138879,-0.02,-0.49
137262,-0.03,-0.49
110484,-0.06,-0.49
137356,-0.09,-0.49
115772,-0.11,-0.49
136861,-0.11,-0.49
136764,-0.12,-0.49
138150,-0.13,-0.49
118910,-0.14,-0.49
137603,-0.18,-0.49
138204,-0.18,-0.49
142031,-0.18,-0.49
135449,-0.2,-0.49
135007,-0.23,-0.49
108097,-0.24,-0.49
136895,-0.3,-0.49
116462,-0.36,-0.49
135401,-0.48,-0.49
138950,0.33,-0.5
137387,0.17,-0.5
136797,0.12,-0.5
112055,0.11,-0.5
136927,0.11,-0.5
105365,-0.01,-0.5
136496,-0.01,-0.5
101564,-0.05,-0.5
141268,-0.05,-0.5
138511,-0.08,-0.5
139542,-0.09,-0.5
112994,-0.11,-0.5
136683,-0.11,-0.5
137536,-0.11,-0.5
103855,-0.14,-0.5
135297,-0.14,-0.5
140300,-0.16,-0.5
126094,-0.17,-0.5
111724,-0.22,-0.5
136982,-0.23,-0.5
136494,-0.26,-0.5
137053,-0.28,-0.5
139553,-0.32,-0.5
138836,-0.33,-0.5
104012,-0.35,-0.5
103518,-0.36,-0.5
103863,-0.36,-0.5
141378,-0.39,-0.5
112992,-0.43,-0.5
140965,-0.56,-0.5
122356,0.31,-0.51
118072,0.2,-0.51
136377,0.15,-0.51
118785,0.06,-0.51
136515,0.06,-0.51
137217,0.05,-0.51
112063,0.04,-0.51
136844,-0.01,-0.51
137842,-0.03,-0.51
137812,-0.04,-0.51
139996,-0.06,-0.51
110062,-0.09,-0.51
137532,-0.09,-0.51
139501,-0.09,-0.51
125314,-0.11,-0.51
137080,-0.12,-0.51
141176,-0.13,-0.51
139623,-0.17,-0.51
113514,-0.19,-0.51
138810,-0.21,-0.51
136016,-0.26,-0.51
141200,-0.29,-0.51
142051,-0.29,-0.51
138448,-0.32,-0.51
106269,-0.37,-0.51
138217,-0.39,-0.51
105257,-0.49,-0.51
139689,-0.75,-0.51
137775,0.06,-0.52
140669,0.06,-0.52
113888,0.03,-0.52
110533,0.02,-0.52
137746,0.02,-0.52
136803,-0.01,-0.52
138817,-0.01,-0.52
137582,-0.07,-0.52
102345,-0.08,-0.52
138948,-0.08,-0.52
125756,-0.11,-0.52
137013,-0.11,-0.52
137280,-0.11,-0.52
101345,-0.12,-0.52
136612,-0.13,-0.52
106141,-0.15,-0.52
141248,-0.15,-0.52
142273,-0.18,-0.52
132834,-0.19,-0.52
137674,-0.2,-0.52
140032,-0.2,-0.52
104395,-0.22,-0.52
108645,-0.23,-0.52
113511,-0.23,-0.52
137399,-0.25,-0.52
138959,-0.25,-0.52
142313,-0.26,-0.52
104712,-0.28,-0.52
137898,-0.3,-0.52
105357,-0.32,-0.52
124413,-0.32,-0.52
118084,-0.33,-0.52
139456,-0.33,-0.52
103550,-0.34,-0.52
100742,-0.37,-0.52
100359,-0.41,-0.52
139666,-0.55,-0.52
121684,0.2,-0.53
135295,0.08,-0.53
137089,0.04,-0.53
118933,0.02,-0.53
124422,-0.08,-0.53
111457,-0.13,-0.53
136139,-0.15,-0.53
137161,-0.18,-0.53
107775,-0.22,-0.53
112379,-0.22,-0.53
106143,-0.26,-0.53
136681,-0.38,-0.53
135564,-0.43,-0.53
134724,-0.49,-0.53
105734,-0.53,-0.53
140751,-0.54,-0.53
141129,-0.61,-0.53
116468,0.28,-0.54
139143,0.09,-0.54
119748,0.07,-0.54
120279,0.06,-0.54
139872,0.05,-0.54
139058,0.01,-0.54
140416,-0.01,-0.54
136349,-0.03,-0.54
135371,-0.04,-0.54
124406,-0.1,-0.54
137936,-0.1,-0.54
139988,-0.11,-0.54
140845,-0.14,-0.54
137440,-0.15,-0.54
110490,-0.16,-0.54
105581,-0.22,-0.54
123869,-0.25,-0.54
135263,-0.28,-0.54
105845,-0.32,-0.54
104390,-0.33,-0.54
139179,-0.34,-0.54
100640,-0.37,-0.54
108058,-0.37,-0.54
102783,-0.38,-0.54
136768,-0.38,-0.54
105577,-0.39,-0.54
138222,-0.41,-0.54
124445,-0.42,-0.54
136527,0.16,-0.55
137063,0.07,-0.55
111456,-0.07,-0.55
120287,-0.07,-0.55
124853,-0.07,-0.55
137941,-0.08,-0.55
111726,-0.13,-0.55
106139,-0.14,-0.55
135905,-0.15,-0.55
118085,-0.17,-0.55
105367,-0.2,-0.55
136589,-0.21,-0.55
112393,-0.22,-0.55
139294,-0.31,-0.55
139708,-0.32,-0.55
139288,-0.37,-0.55
136317,-0.39,-0.55
135070,-0.43,-0.55
131945,-0.5,-0.55
138374,-0.53,-0.55
121700,0.34,-0.56
119779,0.21,-0.56
110059,0.17,-0.56
136307,0.03,-0.56
121701,-0.04,-0.56
119716,-0.05,-0.56
137294,-0.07,-0.56
140510,-0.07,-0.56
108064,-0.08,-0.56
138174,-0.08,-0.56
141570,-0.08,-0.56
136646,-0.1,-0.56
136785,-0.12,-0.56
104834,-0.17,-0.56
137164,-0.18,-0.56
136104,-0.19,-0.56
116445,-0.2,-0.56
138897,-0.27,-0.56
112958,-0.34,-0.56
116936,-0.42,-0.56
105974,-0.43,-0.56
137357,0.22,-0.57
137476,0.22,-0.57
137355,0.18,-0.57
139182,0.14,-0.57
137386,0.12,-0.57
137790,0.08,-0.57
141911,0.01,-0.57
137007,0,-0.57
142306,-0.05,-0.57
137524,-0.06,-0.57
138833,-0.06,-0.57
136605,-0.1,-0.57
138235,-0.11,-0.57
109685,-0.14,-0.57
123573,-0.17,-0.57
129649,-0.2,-0.57
137110,-0.28,-0.57
111417,-0.29,-0.57
114308,-0.32,-0.57
136401,-0.32,-0.57
108055,-0.44,-0.57
135195,-0.44,-0.57
137374,-0.45,-0.57
106524,-0.46,-0.57
135886,-0.46,-0.57
133946,-0.53,-0.57
136906,0.26,-0.58
117499,0.16,-0.58
125279,0.09,-0.58
126085,0.04,-0.58
137874,0.02,-0.58
109329,0.01,-0.58
112383,-0.01,-0.58
117538,-0.01,-0.58
139318,-0.05,-0.58
117530,-0.06,-0.58
105107,-0.09,-0.58
135876,-0.09,-0.58
121170,-0.1,-0.58
136875,-0.14,-0.58
136638,-0.15,-0.58
106534,-0.23,-0.58
135582,-0.23,-0.58
104960,-0.29,-0.58
114297,-0.29,-0.58
119723,-0.35,-0.58
136745,-0.4,-0.58
141498,-0.41,-0.58
123878,-0.42,-0.58
135071,-0.42,-0.58
104020,-0.46,-0.58
141392,-0.48,-0.58
141146,0.19,-0.59
136828,0.16,-0.59
136896,0.14,-0.59
107769,0.03,-0.59
106954,-0.06,-0.59
136606,-0.06,-0.59
137828,-0.06,-0.59
122362,-0.07,-0.59
136645,-0.08,-0.59
102674,-0.14,-0.59
138762,-0.14,-0.59
119789,-0.17,-0.59
121169,-0.17,-0.59
112970,-0.19,-0.59
135671,-0.19,-0.59
118879,-0.21,-0.59
136108,-0.22,-0.59
141179,-0.25,-0.59
109709,-0.29,-0.59
136193,-0.29,-0.59
133114,-0.35,-0.59
126088,0.1,-0.6
142063,0.02,-0.6
121680,-0.03,-0.6
136959,-0.05,-0.6
137156,-0.05,-0.6
115238,-0.06,-0.6
110516,-0.07,-0.6
111440,-0.08,-0.6
106267,-0.12,-0.6
139282,-0.13,-0.6
114607,-0.14,-0.6
140759,-0.16,-0.6
137782,-0.19,-0.6
122363,-0.2,-0.6
113550,-0.21,-0.6
135762,-0.21,-0.6
107135,-0.22,-0.6
114305,-0.23,-0.6
138720,-0.23,-0.6
135306,-0.24,-0.6
116418,-0.31,-0.6
137983,-0.32,-0.6
106656,-0.39,-0.6
136276,0.47,-0.61
137133,0.33,-0.61
137914,0.19,-0.61
137827,0.13,-0.61
138918,0.1,-0.61
136964,0.03,-0.61
136639,0,-0.61
137541,0,-0.61
141526,-0.02,-0.61
124408,-0.05,-0.61
123893,-0.07,-0.61
137878,-0.1,-0.61
106266,-0.18,-0.61
113902,-0.23,-0.61
136620,-0.23,-0.61
105977,-0.26,-0.61
138755,-0.28,-0.61
116928,-0.31,-0.61
135966,-0.31,-0.61
138573,-0.31,-0.61
137408,-0.32,-0.61
122066,-0.34,-0.61
113875,-0.35,-0.61
136824,-0.38,-0.61
120292,-0.44,-0.61
139234,-0.44,-0.61
135865,-0.45,-0.61
139037,-0.46,-0.61
104688,-0.49,-0.61
137270,0.25,-0.62
136991,0.04,-0.62
138545,0.03,-0.62
136722,0.01,-0.62
137261,0.01,-0.62
136340,-0.03,-0.62
136725,-0.05,-0.62
137906,-0.05,-0.62
122100,-0.09,-0.62
137305,-0.14,-0.62
108727,-0.22,-0.62
136175,-0.22,-0.62
137687,-0.23,-0.62
110488,-0.25,-0.62
137696,-0.3,-0.62
134990,-0.33,-0.62
140369,-0.34,-0.62
141652,-0.37,-0.62
121157,-0.47,-0.62
134150,-1.21,-0.62
116412,0.21,-0.63
136520,0.19,-0.63
138480,0.13,-0.63
136847,0,-0.63
137369,-0.03,-0.63
136965,-0.05,-0.63
139839,-0.06,-0.63
135944,-0.07,-0.63
136558,-0.11,-0.63
124409,-0.13,-0.63
139059,-0.21,-0.63
137942,-0.22,-0.63
135305,-0.28,-0.63
102049,-0.3,-0.63
139402,-0.3,-0.63
137613,-0.31,-0.63
140605,-0.32,-0.63
136330,-0.36,-0.63
138120,-0.4,-0.63
119711,-0.42,-0.63
140944,-0.46,-0.63
136141,-0.57,-0.63
141004,-0.96,-0.63
123862,-0.03,-0.64
137655,-0.07,-0.64
140865,-0.07,-0.64
118080,-0.12,-0.64
124391,-0.13,-0.64
140809,-0.19,-0.64
138463,-0.22,-0.64
109686,-0.31,-0.64
137684,-0.4,-0.64
135606,-0.49,-0.64
135372,-0.53,-0.64
139788,-0.61,-0.64
136357,0.16,-0.65
136278,0.03,-0.65
109705,-0.06,-0.65
137001,-0.06,-0.65
108091,-0.08,-0.65
116991,-0.08,-0.65
139464,-0.19,-0.65
113505,-0.2,-0.65
136405,-0.2,-0.65
139076,-0.22,-0.65
121674,-0.24,-0.65
137158,-0.24,-0.65
138660,-0.29,-0.65
121662,-0.32,-0.65
139231,-0.34,-0.65
135745,-0.45,-0.65
103009,0.11,-0.66
108090,0.02,-0.66
138707,0.01,-0.66
137553,-0.01,-0.66
136604,-0.06,-0.66
141814,-0.13,-0.66
119740,-0.14,-0.66
108081,-0.19,-0.66
137973,-0.2,-0.66
138073,-0.28,-0.66
139072,-0.29,-0.66
